,title,description,rating,subs,fitcha
358,Meteor.JS,Free and open-source isomorphic JavaScript web framework,0.0,9300.0,framework
359,D,"D is an object-oriented, imperative, multi-paradigm system programming language",0.0,3300.0,language
362,Derby.js,Full-stack framework,0.0,3400.0,framework
367,Fortran,First high-level programming language,0.0,7100.0,language
369,Cobol,COmmon Business-Oriented Language,0.0,6900.0,language
379,Prolog,Prolog is a general-purpose logic programming language.,0.0,7200.0,language
381,LabVIEW,LabVIEW is a system-design platform and development environment for a visual programming language.,0.0,7700.0,language
386,Mono & Moonlight,Mono is a free and open-source .NET Framework-compatible set of tools.,0.0,8200.0,framework
388,Twisted,Event-driven network programming framework,0.0,7100.0,framework
389,Erlang/OTP,"General-purpose, concurrent, functional programming language",0.0,8100.0,language
391,XSLT,A language for transforming XML documents,0.0,7600.0,language
395,Small Basic,Very simple programming language,0.0,7700.0,language
396,Kohana,PHP5 open-source framework,0.0,13800.0,framework
397,Developmend for Java ME,Everything about J2ME-technologies,0.0,8200.0,technolog
399,MooTools,Free JavaScript-framework,0.0,7100.0,framework
402,Lisp,Oldest high-level programming language,0.0,8000.0,language
403,Zend Framework,Free web development framework,0.0,7400.0,framework
404,ExtJS/Sencha,JavaScript library,0.0,7500.0,library
406,CodeIgniter,An open-source MVC-framework.,0.0,7200.0,framework
407,jQuery,Popular JavaScript library,0.0,9500.0,library
408,Silverlight,"Microsoft Silverlight (or simply Silverlight) is a deprecated application framework for writing and running rich Internet applications, similar to Adobe Flash.",0.0,8000.0,framework
412,Eclipse,Free framework,0.0,7600.0,framework
413,CakePHP,A framework for creating web-applications,0.0,13700.0,framework
419,Perl,"Perl is a high-level, interpreted, dynamic programming language.",-0.8,14800.0,language
420,Google App Engine,A web framework and cloud computing platform for developing and hosting web applications,-1.0,8300.0,framework
421,Solidity,Solidity is a contract-oriented programming language for writing smart contracts on blockchain platforms such as Ethereum,-1.53,1900.0,language
424,XML,Extensible Markup Language,-3.67,8500.0,language
